S? TK nh?p_Mã hàng	APP	Gemini	GAP
308501780330_T922-1	70	65	5
308501854750_D647-76	59	54	5
308505515160_D794-60	37	32	5
308509496100_T779-1	161	156	5
308510728650_B602-56S	5		5
308515018840_B602-54S	21	16	5
308515018840_B602-56S	5		5
308515572800_M20211US		5	-5
308515572800_M31331W2		5	-5
308515572800_M31441W2		5	-5
308515572800_M41231W2		5	-5
308515593800_M20211US	5		5
308515593800_M31331W2	5		5
308515593800_M31441W2	5		5
308515593800_M41231W2	5		5
107006064760_A2000704	24	20	4
107674633360_A3000683	13	9	4
107830965760_R404442	5	1	4
107899226850_A2000642	4		4
107915028210_A4000644	4		4
108081182750_D373-224	22	18	4
108088393010_A4000571	34	30	4
108166379750_B752-81	13	9	4
108211392550_A3000271	128	124	4
108211430720_L208431	81	77	4
306979636040_R58740		4	-4
307219381250_B764-94		4	-4
307314681350_6100313		4	-4
307314681350_6100362		4	-4
307314681350_6100431		4	-4
307888662820_B857-31		4	-4
308065874820_5490848		4	-4
308083229220_9810477		4	-4
308086275030_4280496		4	-4
308086275030_8614038084		4	-4
308309509930_D335-01	34	30	4
308332395950_5930118		4	-4
308336091730_D619-01	26	22	4
308373374100_EB2270-182		4	-4
308373386220_EB2270-182	4		4
308399425150_EB1865-291		4	-4
308399437160_EB1865-291	4		4
308407839960_T776-3	4		4
308410721750_B742-26	10	6	4
308413738750_B742-56W1	9	5	4
308415450031_B743-91	9	5	4
308416261700_B689-54	4		4
308431461460_2920435	4		4
308432009450_W841-168	22	18	4
308432514630_D647-124	148	144	4
308436714260_D546-35	9	5	4
308438721750_U1260058	5	1	4
308438721750_U1260062	5	1	4
308440633820_5590338	5	1	4
308442016320_5390213	4		4
308442496300_P790-815	11	7	4
308443417130_D954-02A	4		4
308444044110_B743-36	73	69	4
308444222350_3990588	5	1	4
308446481360_5590361	11	7	4
308446585440_3940217	4		4
308446655550_3940246	4		4
308447518910_5930118	4		4
308448605900_B814-46	4		4
308449336330_9210364	4		4
308449383120_4220488	4		4
308450332100_B814-54	6	2	4
308450524820_B814-56	4		4
308450524820_B814-57	4		4
308451583920_D423-223	4		4
308451669210_B787-36	12	8	4
308452065260_D743-01	14	10	4
308452933520_B733-46	11	7	4
308454066340_4220494	4		4
308455225061_D947-01A	4		4
308456235420_D440-024	6	2	4
308456249750_B787-46	4		4
308458709700_1800412	4		4
308459032360_6390912	4		4
308459435450_B756-56W1	19	15	4
308459435450_B756-58W1	21	17	4
308459551060_D199-15	28	24	4
308459694230_D814-01	4		4
308460032110_B779-96	16	12	4
308460032110_D923-60	12	8	4
308460095700_T736-20	25	21	4
308463588920_9210346	4		4
308464999310_D647-02	44	40	4
308465121660_T736-7	4		4
308465270320_T736-3	10	6	4
308465988850_D954-01	12	8	4
308466055020_D398-124	10	6	4
308469881330_U2710618	4		4
308470224000_U2710518	4		4
308471044030_D396-124	4		4
308472609450_T377-13	4		4
308473483530_3940211	35	31	4
308473973640_B743-46	27	23	4
308474184010_T393-13	4		4
308474534340_B779-58	9	5	4
308474717520_7970238	10	6	4
308474981160_9360562	26	22	4
308475873700_D618-224	14	10	4
308475873700_D642-09	31	27	4
308475877310_D440-52	16	12	4
308475943330_U4380898	32	28	4
308476009720_T300-617	87	83	4
308476009720_T922-2	17	13	4
308476609620_6620513	5	1	4
308476903730_3730738	9	5	4
308476967650_3730735	11	7	4
308477439820_1030125	4		4
308477858750_9212108	6	2	4
308477868920_9212165	4		4
308477921750_B756-54	4		4
308478080650_U1210013	12	8	4
308478142620_2200318	16	12	4
308478636120_T731-9	22	18	4
308479045950_3460489	6	2	4
308479733020_U1090215	13	9	4
308479988740_B769-46	38	34	4
308479997250_D194-01	18	14	4
308480650460_D396-223	28	24	4
308480809840_B280-681	7	3	4
308480809840_T393-13	9	5	4
308481820530_B414-96	10	6	4
308481915030_4450425	4		4
308483311860_T974-4	39	35	4
308484770330_6590662	25	21	4
308484882330_A3000365	4		4
308485089860_2590365	4		4
308485146340_2590308	24	20	4
308486772000_2430538	4		4
308487603710_9212177	11	7	4
308489263520_9212164	4		4
308490000620_T622-8	21	17	4
308493006750_D947-00	4		4
308493104310_B779-54	12	8	4
308495851550_7780438	4		4
308497587440_W743-68	29	25	4
308497701540_B733-98	38	34	4
308498933760_7780438	4		4
308500979160_D856-35	77	73	4
308501783720_D642-224	78	74	4
308502363800_2590316	4		4
308505882700_B689-57	33	29	4
308509306620_T637-7	12	8	4
308509433760_T994-2	44	40	4
308510920450_M41141US		4	-4
308510920450_M41241W2		4	-4
308510920450_M49731W2		4	-4
308511004600_M41141US	4		4
308511004600_M41241W2	4		4
308511004600_M49731W2	4		4
308524905420_4310435		4	-4
308524905420_70423S1		4	-4
308526728440_3200520		4	-4
107378262460_A1001043	15	12	3
107769491060_R407651	12	9	3
107794414560_R407291	75	72	3
107829103210_R405782	32	29	3
107829104830_A1001103	31	28	3
107909474410_A3000192	16	13	3
107919363750_R406820	17	14	3
107920905040_L204174	3		3
107957363620_A2000697	3		3
108090926310_L207584	3		3
108166377540_B752-96	29	26	3
108190100100_T821-4	3		3
108195788960_W100-121	20	17	3
108211430720_A2000849	30	27	3
306949500340_A1900005		3	-3
306949522740_A1900005	3		3
307216113060_B689-57		3	-3
307220150660_P798-701		3	-3
307883734710_B476-77		3	-3
307890527840_2700438		3	-3
308055870160_B2614-54W1		3	-3
308055882800_B2614-54W1	3		3
308212210150_B787-57	9	6	3
308248979860_B743-56W1	5	2	3
308249390800_B743-97W1	7	4	3
308303501720_T5168-1	11	8	3
308356042100_T678-20	3		3
308363167730_B974-56	18	15	3
308365942310_B100-14W1	5	2	3
308373374100_EB9630-292		3	-3
308373386220_EB9630-292	3		3
308389250430_B615-97W1	6	3	3
308399425150_EB1865-155		3	-3
308399425150_EB3660-157		3	-3
308399437160_EB1865-112	3		3
308399437160_EB1865-155	3		3
308399437160_EB3660-157	3		3
308407839960_T776-4	6	3	3
308409998650_B974-78	7	4	3
308414160150_B974-76	7	4	3
308414689830_B974-58	29	26	3
308414689830_B974-97S	53	50	3
308416207760_U1320087	6	3	3
308420732120_1700339	3		3
308420732120_5080514	3		3
308420899310_B697-92	12	9	3
308426203650_B689-58	10	7	3
308430532710_D631-45	3		3
308435817710_B414-96	3		3
308436266520_W808-68	18	15	3
308436773100_D546-13	3		3
308437615640_P373-601A	3		3
308437615640_P373-615T	3		3
308438228030_6700645	32	29	3
308438356830_D769-15	10	7	3
308438721750_U1260046	9	6	3
308439825540_B685-46	8	5	3
308440529410_5080523	6	3	3
308442019600_U1033079	3		3
308444617740_T167-13	46	43	3
308446125800_B922-93	3		3
308446570260_3940217	15	12	3
308446584520_U4380887	5	2	3
308446955630_B823-93	45	42	3
308447335840_D398-223	49	46	3
308447636250_U1070058	3		3
308448261940_U1033077	3		3
308448676120_B814-46	4	1	3
308449379950_3090164	12	9	3
308449972850_B633-46	15	12	3
308450441040_B685-57	13	10	3
308450441040_B974-31	22	19	3
308450517600_D974-60	31	28	3
308450537160_B680-54	24	21	3
308451255030_B742-97W1	33	30	3
308451448340_B844-56S	3		3
308451652410_D954-35	3		3
308451669210_B787-56	8	5	3
308451669210_B787-58	5	2	3
308451764410_B779-56	24	21	3
308452277510_B922-93W9	15	12	3
308454080560_7407035	5	2	3
308454081150_3090165	5	2	3
308454840540_B680-57	10	7	3
308454840540_B685-54	7	4	3
308454902250_B680-86	3		3
308455269530_D814-55T	8	5	3
308455269530_D814-80	18	15	3
308456819110_B922-46	16	13	3
308458688440_U6260662	3		3
308458925260_5760423	3		3
308459694230_D814-55B	22	19	3
308461131810_4450425	3		3
308463326050_9970535	3		3
308463525920_3990525	4	1	3
308463592160_5760435	5	2	3
308463594260_9370412	3		3
308463611760_U1033058	3		3
308463808830_9210346	3		3
308464020930_B680-87	9	6	3
308464020930_B974-46	11	8	3
308464442110_U2710615	12	9	3
308464814840_T994-2	3		3
308464891250_D824-476	8	5	3
308465023110_A3000696	21	18	3
308467370760_B779-74	3		3
308467508330_7670246	18	15	3
308468376700_D612-00	17	14	3
308469227050_D154-223	22	19	3
308469425410_9210346	3		3
308470965630_2920338	14	11	3
308471177510_9210417	8	5	3
308471191840_B794-56	29	26	3
308471212140_D398-325	7	4	3
308473284140_B743-45	6	3	3
308473307830_7970220	10	7	3
308473731660_B743-93	78	75	3
308473812420_B602-157	3		3
308474473660_B779-77	5	2	3
308474515110_6330694	13	10	3
308474534340_B779-74	3		3
308474753000_9360558	25	22	3
308474772340_9210464	5	2	3
308475180700_9212127	3		3
308475180700_9212157	8	5	3
308475769510_9360531	17	14	3
308476415350_B844-31	3		3
308476504950_6620513	3		3
308477420000_3730720	9	6	3
308478002730_B756-58	3		3
308478083820_2200313	9	6	3
308478125710_B947-31	3		3
308478671340_3460489	3		3
308479036300_9210316	3		3
308479047130_9210365	4	1	3
308479048310_U1033098	5	2	3
308479049010_5930147	3		3
308479692530_U1090015	30	27	3
308479988740_T674-1	6	3	3
308479997250_D542-124	14	11	3
308480893730_T743-0	3		3
308482192230_A3000644	3		3
308483562500_U2710413	11	8	3
308483562500_U2710418	18	15	3
308484799360_2430535	6	3	3
308485089860_6310120	3		3
308485146010_2590308	3		3
308485951930_5930113	3		3
308486196120_9212177	3		3
308487631930_2590377	14	11	3
308488602020_T769-1	14	11	3
308488615760_T769-3	53	50	3
308489479930_U6260646	3		3
308492185100_B844-46	31	28	3
308493030810_D947-55B	24	21	3
