Item,Open_CO_Qty,Total_Open_CO_Qty,Open_CO(%),Acc(%),Item_Status
M12141US,7,484630,1.4444008831479685e-05,1.0120194787776349,Active
M96531W2,7,484630,1.4444008831479685e-05,1.0120339227864663,Active
M12841W2,7,484630,1.4444008831479685e-05,1.0120483667952977,Active
R407132,7,484630,1.4444008831479685e-05,1.0120628108041292,Active
D781-00,7,484630,1.4444008831479685e-05,1.0120772548129606,Unavailable
A2000733,7,484630,1.4444008831479685e-05,1.012091698821792,Active
R407762,7,484630,1.4444008831479685e-05,1.0121061428306235,Active
R407642,7,484630,1.4444008831479685e-05,1.012120586839455,Active
A2000856,7,484630,1.4444008831479685e-05,1.0121350308482864,Active
P802-820,7,484630,1.4444008831479685e-05,1.0121494748571178,Unavailable
A8010347,7,484630,1.4444008831479685e-05,1.0121639188659493,Active
A8010417,7,484630,1.4444008831479685e-05,1.0121783628747807,Active
A8010394,7,484630,1.4444008831479685e-05,1.0121928068836121,Active
L207614,7,484630,1.4444008831479685e-05,1.0122072508924436,Active
D401-325,6,484630,1.2380578998411158e-05,1.012219631471442,Active
B687-56S,6,484630,1.2380578998411158e-05,1.0122320120504404,Active
B980-93,6,484630,1.2380578998411158e-05,1.0122443926294389,Disco
B858-93,6,484630,1.2380578998411158e-05,1.0122567732084373,Active
B742-95,6,484630,1.2380578998411158e-05,1.0122691537874358,Active
EB3392-231,6,484630,1.2380578998411158e-05,1.0122815343664342,Active
P587-124,6,484630,1.2380578998411158e-05,1.0122939149454326,Active
P108-820,6,484630,1.2380578998411158e-05,1.012306295524431,Active
P019-827,6,484630,1.2380578998411158e-05,1.0123186761034295,Active
M33031W2,6,484630,1.2380578998411158e-05,1.012331056682428,New
M33121US,6,484630,1.2380578998411158e-05,1.0123434372614264,New
B821-94,6,484630,1.2380578998411158e-05,1.0123558178404248,Unavailable
B612-46,6,484630,1.2380578998411158e-05,1.0123681984194233,Unavailable
L235684,6,484630,1.2380578998411158e-05,1.0123805789984217,Unavailable
P422-700,6,484630,1.2380578998411158e-05,1.0123929595774201,New
P422-835,6,484630,1.2380578998411158e-05,1.0124053401564186,New
P422-838,6,484630,1.2380578998411158e-05,1.012417720735417,New
B694-36,6,484630,1.2380578998411158e-05,1.0124301013144155,Unavailable
B735-31,6,484630,1.2380578998411158e-05,1.012442481893414,Unavailable
EB4121-113,6,484630,1.2380578998411158e-05,1.0124548624724123,Active
M96541W2,6,484630,1.2380578998411158e-05,1.0124672430514108,Active
M49631W2,6,484630,1.2380578998411158e-05,1.0124796236304092,Active
B697-58W1,6,484630,1.2380578998411158e-05,1.0124920042094077,Disco
B697-97W1,6,484630,1.2380578998411158e-05,1.012504384788406,Disco
B612-54,6,484630,1.2380578998411158e-05,1.0125167653674045,Active
B612-57,6,484630,1.2380578998411158e-05,1.012529145946403,Active
P510-708,6,484630,1.2380578998411158e-05,1.0125415265254014,New
B618-54,6,484630,1.2380578998411158e-05,1.0125539071043999,Disco
