Sequence,Item Number,Actual Qty,Unavailable Qty,Status,Warehouse,Location Id,Type,Fifo Date,Expiration Date,Reserved For,Lot Number,Inspection Code,Serial Number,Type1,Put Away Location,Owner Id,Pod Status
0,L100724,24,0,A,335,A3014KB2,I,46109,1,,,,,STORAGE,,,
0,L100724,24,0,A,335,A3016FN4,I,46109,1,,,,,STORAGE,,,
0,L100724,24,0,A,335,A3016HY4,I,46109,1,,,,,STORAGE,,,
0,L100744,64,0,A,335,A3012EC3,I,46116,1,,,,,STORAGE,,,
0,L100744,16,0,A,335,A3014JB4,I,46116,1,,,,,STORAGE,,,
0,L100744,10,0,A,335,A3014KN1,P,46037,1,,,,,STORAGE,,,
0,L100744,12,0,A,335,A3016CU4,I,46114,1,,,,,STORAGE,,,
0,L100744,16,0,A,335,A3016GX4,I,46116,1,,,,,STORAGE,,,
0,L100764,24,0,A,335,A3014CJ3,I,46094,1,,,,,STORAGE,,,
0,L100764,24,0,A,335,A3014EE3,I,46094,1,,,,,STORAGE,,,
0,L100764,24,0,A,335,A3014EJ3,I,46094,1,,,,,STORAGE,,,
0,L100764,24,0,A,335,A3014HY2,I,46094,1,,,,,STORAGE,,,
0,L100764,24,0,A,335,A3016GS4,I,46094,1,,,,,STORAGE,,,
0,L100764,19,0,A,335,A3016JE1,P,46109,1,,,,,STORAGE,,,
0,L100794,20,0,A,335,A3014GB3,I,46094,1,,,,,STORAGE,,,
0,L100794,24,0,A,335,A3016JG2,I,46094,1,,,,,STORAGE,,,
0,L100804,20,0,A,335,A3014HS1,P,46049,1,,,,,STORAGE,,,
0,L100804,24,0,A,335,A3014KW4,I,46082,1,,,,,STORAGE,,,
0,L100804,24,0,A,335,A3016FP4,I,46049,1,,,,,STORAGE,,,
0,L100804,24,0,A,335,A3016KS4,I,46037,1,,,,,STORAGE,,,
0,L100814,48,0,A,335,A3013HV4,I,46056,1,,,,,STORAGE,,,
0,L100814,14,0,A,335,A3014DZ5,I,46116,1,,,,,STORAGE,,,
0,L100814,16,0,A,335,A3014GR4,I,46116,1,,,,,STORAGE,,,
0,L100814,16,0,A,335,A3014JD4,I,46116,1,,,,,STORAGE,,,
0,L100814,5,0,A,335,A3014JF1,P,46001,1,,,,,STORAGE,,,
0,L100814,16,0,A,335,A3016FD4,I,46001,1,,,,,STORAGE,,,
0,L100814,2,0,A,335,EX001AA1,Z,45825,1,,,,,STORAGE,124A3024GE2,,
0,L100814,1,0,A,335,SH001AA1,Z,46056,1,,,,,STORAGE,,,
0,L100824,16,0,A,335,A3010CZ1,P,46056,1,,,,,STORAGE,,,
0,L100824,48,0,A,335,A3012HY4,I,46088,1,,,,,STORAGE,,,
0,L100824,16,0,A,335,A3014FJ4,I,46049,1,,,,,STORAGE,,,
0,L100824,16,0,A,335,A3016FB4,I,46099,1,,,,,STORAGE,,,
0,L100824,16,0,A,335,A3016HU4,I,46056,1,,,,,STORAGE,,,
0,L100824,16,0,A,335,A3016JF3,I,46056,1,,,,,STORAGE,,,
0,L100824,16,0,A,335,A3016LG4,I,46048,1,,,,,STORAGE,,,
0,L100834,13,0,A,335,A3014KR1,P,46007,1,,,,,STORAGE,,,
0,L100834,24,0,A,335,A3016CX4,I,46007,1,,,,,STORAGE,,,
0,L100834,24,0,A,335,A3016EZ2,I,46044,1,,,,,STORAGE,,,
0,L100834,24,0,A,335,A3016FQ3,I,46043,1,,,,,STORAGE,,,
0,L100844,5,0,A,335,A3014KM1,P,46022,1,,,,,STORAGE,,,
0,L100844,24,0,A,335,A3016KB2,I,46022,1,,,,,STORAGE,,,
0,L117964,72,0,A,335,A3011EC4,I,46088,1,,,,,STORAGE,,,
0,L117964,144,0,A,335,A3011EF3,I,46088,1,,,,,STORAGE,,,
0,L117964,144,0,A,335,A3013CF3,I,46088,1,,,,,STORAGE,,,
0,L117964,144,0,A,335,A3013GM2,I,46088,1,,,,,STORAGE,,,
0,L117964,101,0,A,335,A3013KG1,P,46015,1,,,,,STORAGE,,,
0,L117964,1,0,A,335,A3016CG4,Q,45673,1,,,,,STORAGE,,,
0,L121854,15,0,A,335,A3014HB1,P,46088,1,,,,,STORAGE,,,
0,L123874,12,0,A,335,A3014KK1,P,46102,1,,,,,STORAGE,,,
0,L123894,12,0,A,335,A3014DA1,P,46043,1,,,,,STORAGE,,,
0,L123894,20,0,A,335,A3014GW2,I,46095,1,,,,,STORAGE,,,
0,L123894,32,0,A,335,A3014GW4,I,46109,1,,,,,STORAGE,,,
0,L123894,18,0,A,335,A3014HZ4,I,46109,1,,,,,STORAGE,,,
0,L123894,26,0,A,335,A3016KD2,I,46094,1,,,,,STORAGE,,,
0,L177904,25,0,A,335,A3014HP1,P,46088,1,,,,,STORAGE,,,
0,L177904,1,0,A,335,A3018MP1,X,46088,1,,,,,STORAGE,,,
0,L177904,1,0,A,335,NG001CG3,Z,45993,1,,,,,STORAGE,,,
0,L177974,24,0,A,335,A3017HR3,I,46087,1,,,,,STORAGE,,,
0,L177974,16,0,A,335,A3017PA1,P,46043,1,,,,,STORAGE,,,
