ITNBR,HOUSE,MOHTQ,WHSLC,ITCLS,QTSYR,B2Z95S,ITDSC,TIHIUNLD,PICKPUT,ITMCLSID,UNITSWIDE,UNITLAYERS,UNITSDEEP,SCOOPQTY,SKIDSIZE,QTYCR,NBSEAT,CRTWIN,CRTLIN,CRTHIN,PRDWIN,PRDHIN,PRDLIN,ITMWEGHT,ITNBR2,OPEN_PO,SCOOP_Weight(KG),WEIGHT_RANGE,PALLETS,Unit_Weight(KG),UNIT_WEIGHT_RANGE,FWP,PRDWIN2,PRDHIN2,PRDLIN2,Unnamed: 36,Unnamed: 37
6270235021,335,0,FA00,UIRP,0,0.06,SEAT DECK AND FRONT BAND,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,6270235021,0,0.0,A. 0-100,,0.39462504,A. 0-10,0x2a,0.0,0.0,0.0,,
2590288RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2590288RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
U9900028RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U9900028RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
3010129RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3010129RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
4320468021,335,0,FA00,UIRP,0,0.06,SEAT DECK AND FRONT BAND,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,4320468021,0,0.0,A. 0-100,,0.39462504,A. 0-10,0x2a,0.0,0.0,0.0,,
4320468181,335,0,FA00,UIRP,0,0.24,LEFT ARM FACING IN/OUT ARM,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,4320468181,0,0.0,A. 0-100,,0.63956472,A. 0-10,0x2a,0.0,0.0,0.0,,
30649RP,335,0,FA00,RPMT,0,0.006,BARREL EXTENSION CORD -86 IN,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,30649RP,0,0.0,A. 0-100,,0.39008912,A. 0-10,0x2a,0.0,0.0,0.0,,
4320468281,335,0,FA00,UIRP,0,0.24,RIGHT ARM FACING IN/OUT ARM,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,4320468281,0,0.0,A. 0-100,,0.63956472,A. 0-10,0x2a,0.0,0.0,0.0,,
2590294RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2590294RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
4320468351,335,0,FA00,UIRP,0,0.74,COMPLETE IN/OUT BACK,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05,4320468351,0,0.0,A. 0-100,,2.2906396,A. 0-10,0x2a,0.0,0.0,0.0,,
