Warehouse,Location,Loc_Type,Item,Replen Level,Replen Qty,Uom,Capacity Qty,Pick Put Id,Class Id,Fwd Qty,Current Utilized,Notfwd Qty,Potential Utilized,Pallet Type,Pick Trans Qty,TripQty,CO_Qty,Disabled,STO
335,A3011LJ1,P,D974-01,96,48,CN,144,PALLT,PAL5H,106,0.7361,336,3.0694,5 x 7 ORANGE,1568,316,3952,Active,106
335,A3013LH1,P,D974-124,72,24,CN,96,PALLT,PAL5H,94,0.9792,72,1.7292,5 x 5 wood pallet,556,190,2402,Active,94
335,A3017KC1,P,D974-13,0,7,EA,7,PALLT,PAL3H,0,0.0,56,8.0,3.5 X 7  PAL3D,102,59,480,Active,0
335,A3016JK1,P,D974-224,0,20,CN,20,PALLT,PAL5H,16,0.8,20,1.8,5 x 5 wood pallet,128,24,686,Active,16
335,A3016EA1,P,D974-324,0,18,CN,18,PALLT,PAL5H,6,0.3333,26,1.7778,5 x 5 wood pallet,94,34,386,Active,6
335,A3011DN1,P,D974-35,5,5,EA,10,PALLT,PAL5H,9,0.9,60,6.9,5 X 8 PURPLE,155,59,675,Active,9
335,A3013JB1,P,D984-01,72,24,CN,96,PALLT,PAL5H,92,0.9583,120,2.2083,5 x 5 wood pallet,1094,124,4984,Active,92
335,A3011GW1,P,D984-01A,32,16,CN,48,PALLT,PAL5H,44,0.9167,0,0.9167,5 x 7 ORANGE,466,58,1212,Active,44
335,A3013JM1,P,D984-124,72,24,CN,96,PALLT,PAL5H,86,0.8958,336,4.3958,5 x 5 wood pallet,920,296,3698,Active,86
335,A3011CY1,P,D984-32,14,7,EA,21,PALLT,PAL3H,21,1.0,49,3.3333,3.5 X 7  PAL3D,219,63,667,Active,21
335,A3010EW1,P,D984-35,0,4,EA,4,PALLT,PAL5H,3,0.75,44,11.75,5 X 8 PURPLE,26,5,78,Active,3
335,A3012HS1,P,D984-45,5,5,EA,10,PALLT,PAL3H,7,0.7,75,8.2,3.5 X 7  PAL3D,163,37,661,Active,7
335,A3011GA1,P,D985-02,24,12,CN,36,PALLT,PAL5H,30,0.8333,134,4.5556,5 x 7 ORANGE,16,10,454,Active,30
335,A3015NC1,P,EA1811-4X2,0,36,EA,36,PALLT,PAL5H,0,0.0,0,0.0,5 x 5 wood pallet,6,0,0,Active,0
335,A3015NS1,P,EB1864-112,0,16,EA,16,PALLT,RAILS,3,0.1875,4,0.4375,3.5 X 7  PAL3D,23,2,18,Active,3
335,A3015LR1,P,EB1864-113,0,16,EA,16,PALLT,RAILS,6,0.375,9,0.9375,3.5 X 7  PAL3D,12,14,17,Active,6
335,A3015QQ1,P,EB1864-156,0,45,EA,45,PALLT,RAILS,1,0.0222,0,0.0222,3.5 X 7  PAL3D,22,1,18,Active,1
335,A3015LQ1,P,EB1864-157,0,45,EA,45,PALLT,RAILS,0,0.0,9,0.2,3.5 X 7  PAL3D,9,5,17,Active,0
335,A3015QE1,P,EB1864-231,0,8,EA,8,PALLT,RAILS,3,0.375,4,0.875,3.5 X 7  PAL3D,9,3,14,Active,3
335,A3015NF1,P,EB2270-163,0,49,EA,49,PALLT,PAL5H,8,0.1633,12,0.4082,5 x 5 wood pallet,39,10,16,Active,8
335,A3016FF1,P,EB2270-165,0,36,EA,36,PALLT,PAL5H,12,0.3333,15,0.75,5 x 5 wood pallet,51,14,11,Active,12
335,A3010LJ1,P,EB2270-182,0,56,EA,56,PALLT,RAILS,13,0.2321,32,0.8036,5 X 8 PURPLE,74,24,24,Change to RP location,13
335,A3015LN1,P,EB3392-157,0,18,EA,18,PALLT,RAILS,1,0.0556,2,0.1667,3.5 X 7  PAL3D,1,1,1,Active,1
335,A3015LZ1,P,EB3392-231,0,20,EA,20,PALLT,RAILS,2,0.1,2,0.2,3.5 X 7  PAL3D,10,2,4,Active,2
335,A3015JQ1,P,EB3660-113,0,20,EA,20,PALLT,RAILS,12,0.6,20,1.6,5 x 7 ORANGE,72,9,30,Active,12
335,A3015LY1,P,EB3660-157,0,45,EA,45,PALLT,RAILS,10,0.2222,10,0.4444,3.5 X 7  PAL3D,48,7,17,Active,10
335,A3015NJ1,P,EB3660-231,0,10,EA,10,PALLT,RAILS,8,0.8,10,1.8,3.5 X 7  PAL3D,30,7,29,Active,8
335,A3014KH1,P,EB3660-291,0,54,EA,54,PALLT,PAL5H,22,0.4074,20,0.7778,5 x 5 wood pallet,54,23,22,Active,22
335,A3015QD1,P,EB4121-113,0,16,EA,16,PALLT,RAILS,2,0.125,5,0.4375,3.5 X 7  PAL3D,3,0,6,Active,2
335,A3015NL1,P,EB4121-157,0,24,EA,24,PALLT,RAILS,4,0.1667,0,0.1667,3.5 X 7  PAL3D,2,2,6,Active,4
335,A3015LW1,P,EB4121-231,0,10,EA,10,PALLT,RAILS,2,0.2,2,0.4,3.5 X 7  PAL3D,4,2,0,Active,2
335,A3016JT1,P,EB4121-291,0,60,EA,60,PALLT,PAL5H,2,0.0333,2,0.0667,5 x 5 wood pallet,3,0,3,Active,2
335,A3017RM1,P,EB9630-231,0,10,EA,10,PALLT,PAL3H,2,0.2,20,2.2,3.5 X 7  PAL3D,59,7,17,Active,2
335,A3016FQ1,P,EB9630-292,0,54,EA,54,PALLT,PAL5H,14,0.2593,2,0.2963,5 x 5 wood pallet,47,2,17,Active,14
335,A3015QJ1,P,EW0200-124,0,30,EA,30,PALLT,RAILS,1,0.0333,2,0.1,3.5 X 7  PAL3D,0,2,3,Active,1
335,A3015QK1,P,EW0267-124,0,30,EA,30,PALLT,RAILS,11,0.3667,45,1.8667,3.5 X 7  PAL3D,2,21,62,Active,11
335,A3015NT1,P,EW0267-268,0,14,EA,14,PALLT,RAILS,4,0.2857,23,1.9286,3.5 X 7  PAL3D,12,23,36,Active,4
335,A3015NB1,P,EW0331-124,0,15,EA,15,PALLT,RAILS,2,0.1333,25,1.8,3.5 X 7  PAL3D,27,22,26,Active,2
335,A3017DA1,P,EW0331-268,0,14,EA,14,PALLT,PAL3H,2,0.1429,10,0.8571,3.5 X 7  PAL3D,27,7,14,Active,2
335,A3015LV1,P,EW0446-124,0,30,EA,30,PALLT,RAILS,0,0.0,6,0.2,3.5 X 7  PAL3D,21,0,12,Active,0
