Item,Open_CO_Qty,Total_Open_CO_Qty,Open_CO(%),Acc(%),Item_Class
4450425,83,,,,
4450525,69,,,,
T5169-1,4,,,,
8100335,10,,,,
2810535,10,,,,
5900535,13,,,,
5900635,8,,,,
5900638,13,,,,
8100338,49,,,,
2810538,54,,,,
T5169-2,5,,,,
5900538,23,,,,
H647-44,11,,,,
B751-58,63,,,,
1320138,158,,,,
B697-96,22,,,,
1320135,167,,,,
B751-97,58,,,,
B697-54,30,,,,
B751-56,63,,,,
1320114,21,,,,
B697-57,22,,,,
1320123,88,,,,
2110477,100,,,,
1080129,139,,,,
5830028,106,,,,
4660425,12,,,,
1230335,110,,,,
1230338,153,,,,
6762234,1,,,,
6762267,1,,,,
2230238,152,,,,
6762216,1,,,,
2230223,56,,,,
B650-136,51,,,,
EB3477-113,4,,,,
EB3477-231,2,,,,
EB3477-245,2,,,,
EB3477-291,11,,,,
EB3477-157,4,,,,
U5950518,12,,,,
U5950515,13,,,,
U5950513,14,,,,
B776-58W1,37,,,,
B776-57,19,,,,
2350162,29,,,,
B980-93,85,,,,
8070308,16,,,,
9400338,46,,,,
9400335,22,,,,
H814-01A,4,,,,
A3000157,36,,,,
T697-4,25,,,,
1220638,3,,,,
A4000229,28,,,,
1570508,4,,,,
H449-114,18,,,,
H190-08,51,,,,
3780120,38,,,,
3780138,56,,,,
H288-44,11,,,,
A3000256,13,,,,
H220-05A,47,,,,
A3000281,20,,,,
B742-78W1,39,,,,
B742-91,53,,,,
B742-97W1,42,,,,
B742-46,128,,,,
B633-92W9,72,,,,
B742-76W1,33,,,,
B742-22,21,,,,
1560220,180,,,,
3440123,24,,,,
H675-01A,4,,,,
1190256,9,,,,
3970234,28,,,,
1190246,9,,,,
3970216,15,,,,
3970256,21,,,,
3970217,13,,,,
3970277,32,,,,
1190248,9,,,,
3970255,19,,,,
B756-91W9,83,,,,
D736-02,60,,,,
D751-35,70,,,,
T459-7,15,,,,
D751-01,376,,,,
3380388,11,,,,
T287-9,25,,,,
T287-2,37,,,,
T757-9,3,,,,
T757-3,4,,,,
T372-3,124,,,,
D589-01,368,,,,
T459-20,109,,,,
T326-13,3,,,,
